db,category_name,n,energy_mean_kcal,energy_sd,protein_mean_g,protein_sd,fat_mean_g,fat_sd,carb_mean_g,carb_sd,salt_eq_mean_g,salt_eq_sd
JB,その他冷凍食品,15,154.3,137.4,1.8,0.9,7.0,10.2,21.0,11.8,0.5,0.5
US,Other Soups,3033,185.9,150.7,6.6,7.5,5.1,6.3,28.7,26.9,4.6,7.8
JB,カレー・シチュー,93,157.8,141.8,4.1,2.5,9.2,10.3,15.0,12.0,2.4,3.1
JB,スープ,69,291.6,143.2,16.0,10.1,10.5,7.0,33.6,18.3,12.0,7.9
JB,その他レトルト,27,105.2,113.0,4.2,4.0,4.6,7.2,12.3,15.0,3.5,4.5
JB,即席麺,13,253.6,103.7,7.4,3.7,13.4,11.8,13.4,5.7,9.5,3.6
JB,料理の素・ミックス,12,86.2,73.0,3.2,3.3,3.4,2.6,10.2,13.3,3.8,4.0
JB,煮物・おかず,10,138.5,158.0,8.7,10.4,5.6,6.6,13.3,14.8,4.0,5.2
US,Chili & Stew,1182,105.3,50.4,5.2,3.0,4.0,4.3,12.2,7.6,1.1,1.1
JB,カレー・シチュー,15,228.7,180.9,8.6,5.2,13.0,12.5,19.6,15.6,2.7,2.3
US,Deli Salads,1316,205.1,86.5,6.9,23.5,13.6,8.4,15.0,10.1,1.1,0.8
JB,煮物・おかず,18,178.3,17.5,1.7,0.4,13.5,2.2,13.1,1.5,1.3,0.3
US,Prepared Soups,597,65.4,43.4,2.6,1.9,2.0,2.1,9.2,7.5,1.0,0.8
JB,スープ,13,79.3,91.1,2.6,4.4,2.5,2.7,11.6,13.1,2.3,4.4
US,Energy Protein & Muscle Recovery Drinks,1933,230.2,161.1,33.0,31.3,4.3,5.3,16.5,18.2,0.8,1.2
JB,プロテイン,107,111.9,151.0,16.5,23.6,2.3,8.1,8.3,16.9,0.4,0.8
JB,その他栄養補助食品,61,171.8,89.3,10.2,13.1,3.9,3.9,28.4,16.8,0.7,2.1
JB,経腸栄養・流動食,16,139.8,83.0,5.5,3.1,3.0,2.5,23.3,19.3,0.2,0.1
JB,スポーツ・機能性飲料,10,88.5,103.3,2.4,6.5,0.0,0.0,19.8,20.7,0.3,0.8
US,Snack Energy & Granola Bars,8548,412.3,64.3,17.1,10.8,17.8,9.3,51.6,14.7,0.7,0.5
JB,経腸栄養・流動食,23,484.5,22.4,14.5,4.6,28.5,3.3,47.1,7.5,0.8,0.2
JB,プロテイン,10,488.3,34.5,27.9,13.4,26.1,5.1,39.3,14.4,0.4,0.1
US,Meal Replacement Supplements,168,232.0,173.2,25.9,22.3,6.8,8.4,18.8,16.0,0.8,0.7
JB,経腸栄養・流動食,10,160.0,0.0,6.0,0.0,4.9,0.7,24.0,2.4,0.3,0.0
JB,その他栄養補助食品,10,179.6,77.9,6.9,3.5,5.4,2.6,33.5,23.6,0.3,0.2
US,Health Supplements and Vitamins,9,354.4,118.2,59.3,26.3,6.4,3.2,12.7,11.1,1.1,1.1
JB,その他栄養補助食品,18,70.2,118.5,11.1,23.7,0.1,0.3,8.6,15.8,0.0,0.0
US,Green Supplements,30,365.9,90.4,50.6,20.6,2.0,4.9,31.6,19.3,1.0,1.1
JB,その他栄養補助食品,11,282.0,98.1,17.6,14.0,3.0,1.7,61.0,23.5,0.6,0.4
US,Baby/Infant Foods/Beverages,103,57.1,10.2,1.1,0.7,0.2,0.5,13.0,2.0,0.0,0.0
JB,ベビーフード,28,320.3,213.8,6.9,5.7,13.8,12.2,42.5,24.4,0.3,0.3
